tipo;hash;m;n;seed;tempoIns_ms;tempoBusca_ms;colisoes;top1;top2;top3;gapMin;gapMax;gapMed
ENC;DIV;1009;100000;42;70.544;53.315;4957043;131;127;126;0;0;0.000
ENC;MUL;1009;100000;42;85.463;69.418;4959520;132;129;128;0;0;0.000
ENC;MIX;1009;100000;42;70.285;54.654;4956262;126;126;126;0;0;0.000
ENC;DIV;10007;100000;42;15.124;10.834;498870;23;22;22;0;0;0.000
ENC;MUL;10007;100000;42;14.588;13.393;499727;24;24;24;0;1;0.000
ENC;MIX;10007;100000;42;10.750;7.074;498967;25;24;22;0;0;0.000
ENC;DIV;100003;100000;42;4.784;3.314;49996;8;8;7;0;14;0.583
LIN;DIV;100003;100000;42;32.230;29.814;17910760;1;1;1;0;3;0.000
QUAD;DIV;100003;100000;42;6.875;6.484;1157232;1;1;1;0;1;0.000
DUP;DIV;100003;100000;42;7.086;5.005;848889;1;1;1;0;1;0.000
ENC;MUL;100003;100000;42;8.727;4.720;49870;8;7;7;0;12;0.579
LIN;MUL;100003;100000;42;35.985;35.286;22790572;1;1;1;0;1;0.000
QUAD;MUL;100003;100000;42;5.772;5.179;938718;1;1;1;0;1;0.000
DUP;MUL;100003;100000;42;8.414;5.714;883918;1;1;1;0;1;0.000
ENC;MIX;100003;100000;42;8.013;4.669;49871;7;7;7;0;13;0.580
LIN;MIX;100003;100000;42;20.490;19.607;10565120;1;1;1;0;2;0.000
QUAD;MIX;100003;100000;42;7.420;15.242;905765;1;1;1;0;1;0.000
DUP;MIX;100003;100000;42;9.214;13.340;884751;1;1;1;0;1;0.000
ENC;DIV;1009;1000000;43;22122.742;11376.002;495533091;1084;1080;1074;0;0;0.000
ENC;MUL;1009;1000000;43;11067.518;4836.377;495525426;1105;1082;1081;0;0;0.000
ENC;MIX;1009;1000000;43;11335.299;4199.803;495526683;1090;1084;1081;0;0;0.000
ENC;DIV;10007;1000000;43;2314.304;1396.348;49976763;142;141;140;0;0;0.000
ENC;MUL;10007;1000000;43;2980.102;2171.289;49965906;140;138;138;0;0;0.000
ENC;MIX;10007;1000000;43;2941.629;2091.591;49977317;139;139;137;0;0;0.000
ENC;DIV;100003;1000000;43;558.521;330.661;5000421;28;26;26;0;1;0.000
ENC;MUL;100003;1000000;43;706.975;418.789;4997264;25;25;25;0;1;0.000
ENC;MIX;100003;1000000;43;517.747;431.493;4997216;27;25;25;0;1;0.000
ENC;DIV;1009;10000000;44;666104.072;404613.859;49553875843;10265;10236;10200;0;0;0.000
ENC;MUL;1009;10000000;44;327947.393;301595.747;49553970792;10208;10207;10203;0;0;0.000
ENC;MIX;1009;10000000;44;382382.757;357862.834;49554356749;10266;10227;10220;0;0;0.000
ENC;DIV;10007;10000000;44;67561.488;61858.090;4996492976;1127;1122;1118;0;0;0.000
ENC;MUL;10007;10000000;44;68157.098;62719.421;4996472050;1107;1107;1107;0;0;0.000
ENC;MIX;10007;10000000;44;70003.318;55232.206;4996521529;1112;1111;1106;0;0;0.000
ENC;DIV;100003;10000000;44;16818.007;11596.472;499999103;150;147;143;0;0;0.000
ENC;MUL;100003;10000000;44;19119.324;10976.382;499983502;147;144;143;0;0;0.000
ENC;MIX;100003;10000000;44;22270.734;8030.964;500049866;147;143;143;0;0;0.000
